"pathway"	"Female"	"Male"
"M1"	2.33839723806575	-2.34419054008767
"M10"	-2.29724216450867	2.31476052551057
"M11"	-2.84427631492779	2.86180589290017
"M12"	1.29049647329897	-1.28142136190347
"M13"	3.09088381643518	-3.07948053737456
"M14"	1.12803728048263	-1.12322264546568
"M15"	2.53250396344431	-2.50788422036594
"M16"	2.89148146814551	-2.8606948853717
"M17"	-1.04584835323731	1.05620955055479
"M18"	-2.19355682753823	2.21528834821888
"M19"	-2.83259414851058	2.86425237327785
"M2"	-1.62791797732898	1.62707608743843
"M20"	1.56638567231652	-1.54826130355721
"M21"	-0.724233174900456	0.727249108471566
"M22"	0.639132890348886	-0.629737776207444
"M23"	1.89883708365437	-1.87548931542673
"M24"	-2.53537810841495	2.55320558733901
"M25"	2.34647419950689	-2.32803242354524
"M26"	-1.16384064440876	1.16875639460941
"M27"	0.67302935226366	-0.665463238864532
"M28"	-1.26931085859379	1.27698276429038
"M29"	0.618466589453505	-0.614051892294393
"M3"	-1.4391369961965	1.43295157892802
"M30"	-1.29183642551705	1.28825978027583
"M31"	3.17165153845824	-3.15487972176128
"M32"	2.39471993760753	-2.37729349867497
"M33"	2.12706770135953	-2.13943515003291
"M4"	0.369724585011547	-0.369249906365926
"M5"	1.0630142210121	-1.06143651143492
"M6"	-1.69103350893922	1.70559513221078
"M7"	0.793741168947147	-0.795651009655167
"M8"	-1.67992704823409	1.67682098913001
"M9"	-3.4228103817244	3.44028419979443
"Not.Correlated"	-1.61270725075798	1.62405849277534
