"pathway"	"Female"	"Male"
"M1"	0.393163609029194	-0.393163609029194
"M10"	-0.37019448376432	0.370194483764319
"M11"	-0.469277711799637	0.469277711799636
"M12"	0.236385967463372	-0.236385967463373
"M13"	0.57027077288367	-0.570270772883671
"M14"	0.210393324769532	-0.210393324769532
"M15"	0.489871690381311	-0.48987169038131
"M16"	0.559511577888898	-0.559511577888898
"M17"	-0.187813041476315	0.187813041476315
"M18"	-0.393918083970641	0.393918083970639
"M19"	-0.508931732002744	0.508931732002745
"M2"	-0.247301041750372	0.247301041750372
"M20"	0.306703940055908	-0.306703940055908
"M21"	-0.131307430276693	0.131307430276692
"M22"	0.126461190825594	-0.126461190825594
"M23"	0.382253466847694	-0.382253466847695
"M24"	-0.47340968998505	0.47340968998505
"M25"	0.485726768877843	-0.485726768877842
"M26"	-0.222552793325612	0.222552793325612
"M27"	0.140220065083883	-0.140220065083883
"M28"	-0.246969522716196	0.246969522716194
"M29"	0.137479470919942	-0.137479470919941
"M3"	-0.219444781279784	0.219444781279785
"M30"	-0.273247762213785	0.273247762213786
"M31"	0.734396265285815	-0.734396265285815
"M32"	0.557760848975438	-0.557760848975437
"M33"	0.523075713568744	-0.523075713568744
"M4"	0.0653069589670006	-0.0653069589669999
"M5"	0.187975168868528	-0.187975168868528
"M6"	-0.267298903843168	0.267298903843168
"M7"	0.141226312724035	-0.141226312724036
"M8"	-0.265923654375429	0.265923654375429
"M9"	-0.549043190773081	0.549043190773082
"Not.Correlated"	-0.429913593672197	0.429913593672197
