MotifID	TF_Info
M1358_1.02	(TERF2)_(Mus_musculus)_(DBD_0.92)
M1359_1.02	(MYPOP)_(Mus_musculus)_(DBD_0.97)
M1418_1.02	C11orf9
M1432_1.02	NR2E1
M1458_1.02	(RORB)_(Tetraodon_nigroviridis)_(DBD_1.00)
M1507_1.02	(LCOR)_(Meleagris_gallopavo)_(DBD_1.00)
M1528_1.02	(RFX6)_(Mus_musculus)_(DBD_0.66)
M1529_1.02	(RFX7)_(Mus_musculus)_(DBD_1.00)
M1545_1.02	GMEB1
M1581_1.02	(CIC)_(Mus_musculus)_(DBD_1.00)
M1582_1.02	(HMG20B)_(Mus_musculus)_(DBD_0.94)
M1583_1.02	(BBX)_(Mus_musculus)_(DBD_0.99)
M1589_1.02	(SOX30)_(Mus_musculus)_(DBD_1.00)
M1592_1.02	(SOX3)_(Mus_musculus)_(DBD_1.00)
M1594_1.02	(SOX12)_(Mus_musculus)_(DBD_1.00)
M1601_1.02	(SOX11)_(Mus_musculus)_(DBD_1.00)
M1605_1.02	(SOX1)_(Mus_musculus)_(DBD_1.00)
M1628_1.02	(TBX10)_(Mus_musculus)_(DBD_0.87)
M1668_1.02	PRKRIR
M1838_1.02	TFAP2A
M1841_1.02	AR
M1863_1.02	FOXD1
M1868_1.02	GATA2
M1871_1.02	(KLF2)_(Mus_musculus)_(DBD_0.95)
M1882_1.02	IRF1
M1884_1.02	MEF2A
M1889_1.02	MAX
M1890_1.02	NFYA
M1906_1.02	SP1
M1915_1.02	(ZNF76)_(Xenopus_laevis)_(DBD_0.84)
M1917_1.02	USF1
M1919_1.02	YY1
M1925_1.02	CEBPA
M1926_1.02	ZEB1
M1927_1.02	(MYCL1)_(Mus_musculus)_(DBD_0.66)
M1928_1.02	NFKB1
M1929_1.02	TP53
M1934_1.02	ESR1
M1950_1.02	ZNF354C
M1955_1.02	STAT1
M1963_1.02	(ZFY)_(Mus_musculus)_(DBD_0.97)
M1968_1.02	EBF1
M1970_1.02	NFIC
M2065_1.02	ESR2
M2264_1.02	(ATOH1)_(Mus_musculus)_(DBD_1.00)
M2267_1.02	CDX2
M2268_1.02	CEBPB
M2270_1.02	DUX4
M2273_1.02	E2F6
M2275_1.02	ELF1
M2277_1.02	FLI1
M2278_1.02	FOS
M2281_1.02	FOXH1
M2283_1.02	FOXP1
M2286_1.02	HNF4G
M2287_1.02	(HOXC9)_(Mus_musculus)_(DBD_0.98)
M2289_1.02	JUN
M2292_1.02	JUND
M2296_1.02	MAFK
M2299_1.02	(MYF5)_(Mus_musculus)_(DBD_0.90)
M2301_1.02	NFYB
M2303_1.02	NR2C2
