Sample	Sex	PCW	RIN	ReadLength	PC1	PC2	PC3	PEER1	PEER2	PEER3	PEER4	PEER5	PEER6	PEER7	PEER8	PEER9	PEER10
12545	Female	19	7.699999809265137	2x76bp	-0.2213210016489029	0.04177960008382797	0.05727279931306839	-0.016089720651507378	0.0014363053487613797	-0.004700871184468269	-0.04382665455341339	-0.0016911167185753584	-0.03181292861700058	0.010707920417189598	0.024812400341033936	-0.01532737072557211	0.05997123941779137
12994	Female	15	8.300000190734863	2x76bp	0.05025159940123558	0.0104975001886487	-0.014609100297093391	-0.015977654606103897	0.001722576329484582	-0.0024064064491540194	-0.011004630476236343	-0.0017011846648529172	-0.01624656468629837	-0.005931206047534943	0.042615532875061035	-0.034434784203767776	-0.049287568777799606
15240	Female	13	5.5	2x125bp	0.05440320074558258	0.03821520134806633	0.008338849991559982	-0.01628539338707924	0.0010275783715769649	-0.00111325120087713	0.013616317883133888	-0.0017164787277579308	0.007755957078188658	0.01997583732008934	-0.13315658271312714	-0.20459036529064178	0.044393185526132584
15296	Female	12	7.199999809265137	2x76bp	0.04073610156774521	-0.10920999944210052	0.015590599738061428	-0.016336306929588318	0.001371097401715815	6.692170427413657e-5	-0.03550690412521362	-0.0016386365750804543	0.021956950426101685	-0.0021029755007475615	0.06819486618041992	0.04722243547439575	-0.003404860384762287
15533	Female	13	8.300000190734863	2x100bp	0.04937500134110451	0.005075729917734861	0.04312309995293617	-0.016316046938300133	0.0016889824764803052	0.005256155040115118	-0.12814649939537048	-0.001692419988103211	0.02866499125957489	-0.012100949883460999	3.5496678901836276e-4	-0.02030889131128788	-0.024583976715803146
15768	Female	12	8.899999618530273	2x125bp	0.05200269818305969	0.026228800415992737	-0.009654159657657146	-0.016462035477161407	9.021672303788364e-4	5.152755766175687e-4	-0.041390154510736465	-0.0016800003359094262	0.00958666019141674	0.01350645162165165	-0.06028395891189575	-0.02361450530588627	0.12446330487728119
16286	Female	13	8	2x125bp	0.05195879936218262	0.03663169965147972	0.005774700082838535	-0.016371149569749832	0.0010165282292291522	7.220703992061317e-4	0.04918597638607025	-0.0016790184890851378	-0.010815258137881756	-0.020326973870396614	-0.14657236635684967	-0.048435669392347336	0.005794455297291279
16548	Female	18	6	2x100bp	-0.18113300204277039	0.040534600615501404	0.031125100329518318	-0.016159342601895332	0.001089326455257833	7.820596802048385e-4	-0.08458055555820465	-0.0018086526542901993	-0.004780708812177181	-0.031582530587911606	0.07507088035345078	0.12719787657260895	0.03335261344909668
16840	Female	13	8.199999809265137	2x100bp	0.05590770021080971	0.03752110153436661	-0.004504830110818148	-0.015838859602808952	0.0016204188577830791	-0.0028123026713728905	-0.03257790952920914	-0.0017937286756932735	-0.0018549624364823103	-0.003914594650268555	-0.05676265060901642	0.14221219718456268	0.03083217144012451
17068	Female	17	8.300000190734863	2x100bp	-0.016968300566077232	0.015799900516867638	-0.24479800462722778	-0.015994805842638016	0.0016948950942605734	-8.76908132340759e-4	-0.09778250008821487	-0.0017731154803186655	-0.002003332832828164	-0.004439316224306822	-0.04972824454307556	0.07318218797445297	0.12632501125335693
17081	Female	13	9.100000381469727	2x125bp	0.05743720009922981	0.03415520116686821	0.012111200019717216	-0.01581433229148388	0.001594148576259613	0.0035828109830617905	-0.024086469784379005	-0.0018762432737275958	-0.004772441927343607	-0.037887416779994965	-0.0019513694569468498	-0.028471197932958603	-0.0874299705028534
17109	Female	13	9	2x100bp	0.04915450140833855	0.007008550222963095	-0.015743600204586983	-0.015919752418994904	0.0015474861720576882	-0.001115485094487667	-0.08296943455934525	-0.001805241801775992	0.010120371356606483	-0.004985165316611528	-0.05387008935213089	0.11686038225889206	0.010869075544178486
17111	Female	12	8	2x76bp	0.05023270100355148	-0.038043901324272156	0.02359599992632866	-0.016501395031809807	9.15574433747679e-4	-0.0016360445879399776	-0.041578005999326706	-0.0016338308341801167	0.002700223820284009	-0.011645281687378883	-0.050341565161943436	-0.0036796831991523504	0.01746383309364319
17130	Female	13	7.699999809265137	2x125bp	-0.013678199611604214	0.04058200120925903	0.030597299337387085	-0.01622324436903	0.0013429293176159263	0.0034263392444700003	0.03887278586626053	-0.0017017239006236196	-0.005130872596055269	-0.021692033857107162	-0.03656012564897537	-0.030890656635165215	-0.005632562562823296
17160	Female	17	3.299999952316284	2x125bp	0.05674339830875397	0.03512449935078621	0.027296699583530426	-0.01575435698032379	0.0015143720665946603	6.625460810028017e-4	-0.036588165909051895	-0.0018797630909830332	-0.011906769126653671	0.03243659809231758	-0.04375161975622177	0.04236198961734772	0.11267802864313126
17221	Female	14	9.199999809265137	2x76bp	-0.22714099287986755	0.04430890083312988	0.040855199098587036	-0.016449641436338425	9.750020690262318e-4	3.8714607944712043e-4	0.0011532703647390008	-0.0016793583054095507	-0.018019448965787888	-0.037626322358846664	0.054442163556814194	-0.024831967428326607	-0.06666996330022812
17229	Female	16	4.699999809265137	2x125bp	0.05464629828929901	0.03843940049409866	0.02606469951570034	-0.016232864931225777	0.0014952667988836765	-6.203602533787489e-4	0.021551718935370445	-0.001646580989472568	0.021132441237568855	0.014058226719498634	-0.025278069078922272	0.0020013549365103245	0.10170431435108185
17486	Female	18	2.9000000953674316	2x76bp	-0.21511399745941162	0.038346800953149796	-0.010086899623274803	-0.01606367900967598	0.0016130318399518728	4.2233269778080285e-4	0.024293772876262665	-0.0017199484864249825	0.0030933194793760777	0.011967914178967476	0.05343678221106529	-0.16233281791210175	0.039583880454301834
