"Sample"	"Sex"	"PCW"	"RIN"	"ReadLength"	"PC1"	"PC2"	"PC3"	"PEER1"	"PEER2"	"PEER3"	"PEER4"	"PEER5"	"PEER6"	"PEER7"	"PEER8"	"PEER9"	"PEER10"
"1"	12545	"Female"	19	7.69999980926514	"76"	-0.221321001648903	0.041779600083828	0.0572727993130684	-0.0160897206515074	0.00143630534876138	-0.00470087118446827	-0.0438266545534134	-0.00169111671857536	-0.0318129286170006	0.0107079204171896	0.0248124003410339	-0.0153273707255721	0.0599712394177914
"2"	12994	"Female"	15	8.30000019073486	"76"	0.0502515994012356	0.0104975001886487	-0.0146091002970934	-0.0159776546061039	0.00172257632948458	-0.00240640644915402	-0.0110046304762363	-0.00170118466485292	-0.0162465646862984	-0.00593120604753494	0.042615532875061	-0.0344347842037678	-0.0492875687777996
"3"	15240	"Female"	13	5.5	"125"	0.0544032007455826	0.0382152013480663	0.00833884999155998	-0.0162853933870792	0.00102757837157696	-0.00111325120087713	0.0136163178831339	-0.00171647872775793	0.00775595707818866	0.0199758373200893	-0.133156582713127	-0.204590365290642	0.0443931855261326
"4"	15296	"Female"	12	7.19999980926514	"76"	0.0407361015677452	-0.109209999442101	0.0155905997380614	-0.0163363069295883	0.00137109740171582	6.69217042741366e-05	-0.0355069041252136	-0.00163863657508045	0.0219569504261017	-0.00210297550074756	0.0681948661804199	0.0472224354743958	-0.00340486038476229
"5"	15533	"Female"	13	8.30000019073486	"100"	0.0493750013411045	0.00507572991773486	0.0431230999529362	-0.0163160469383001	0.00168898247648031	0.00525615504011512	-0.12814649939537	-0.00169241998810321	0.0286649912595749	-0.012100949883461	0.000354966789018363	-0.0203088913112879	-0.0245839767158031
"6"	15768	"Female"	12	8.89999961853027	"125"	0.0520026981830597	0.0262288004159927	-0.00965415965765715	-0.0164620354771614	0.000902167230378836	0.000515275576617569	-0.0413901545107365	-0.00168000033590943	0.00958666019141674	0.0135064516216516	-0.0602839589118958	-0.0236145053058863	0.124463304877281
"7"	16286	"Female"	13	8	"125"	0.0519587993621826	0.0366316996514797	0.00577470008283854	-0.0163711495697498	0.00101652822922915	0.000722070399206132	0.0491859763860703	-0.00167901848908514	-0.0108152581378818	-0.0203269738703966	-0.14657236635685	-0.0484356693923473	0.00579445529729128
"8"	16548	"Female"	18	6	"100"	-0.18113300204277	0.0405346006155014	0.0311251003295183	-0.0161593426018953	0.00108932645525783	0.000782059680204839	-0.0845805555582047	-0.0018086526542902	-0.00478070881217718	-0.0315825305879116	0.0750708803534508	0.127197876572609	0.0333526134490967
"9"	16840	"Female"	13	8.19999980926514	"100"	0.0559077002108097	0.0375211015343666	-0.00450483011081815	-0.015838859602809	0.00162041885778308	-0.00281230267137289	-0.0325779095292091	-0.00179372867569327	-0.00185496243648231	-0.00391459465026855	-0.0567626506090164	0.142212197184563	0.0308321714401245
"10"	17068	"Female"	17	8.30000019073486	"100"	-0.0169683005660772	0.0157999005168676	-0.244798004627228	-0.015994805842638	0.00169489509426057	-0.000876908132340759	-0.0977825000882149	-0.00177311548031867	-0.00200333283282816	-0.00443931622430682	-0.0497282445430756	0.073182187974453	0.126325011253357
