"pathway"	"Female"	"Male"
"M1"	2.34483716817283	-2.34909998603553
"M10"	-2.27278815589867	2.31984282316593
"M11"	-2.84827948763461	2.87689364550845
"M12"	1.28417395081697	-1.28973765800936
"M13"	3.09210774710937	-3.10527096610687
"M14"	1.1266245597578	-1.12636762044418
"M15"	2.51319950195173	-2.52632924923057
"M16"	2.8606439757613	-2.88019662615501
"M17"	-1.05910525426674	1.05856987272322
"M18"	-2.22136178193252	2.22023887550302
"M19"	-2.8723445303304	2.86264468406994
"M2"	-1.65561125975166	1.64217884971814
"M20"	1.55459519617766	-1.56118086425118
"M21"	-0.722179968390441	0.736910760061982
"M22"	0.631882126722495	-0.629017821046932
"M23"	1.88824279519614	-1.87388030702843
"M24"	-2.54378190313836	2.58260125497993
"M25"	2.35617322014729	-2.33771824777281
"M26"	-1.17438920837638	1.18249364746696
"M27"	0.670381797261734	-0.669360762366496
"M28"	-1.27554179757218	1.27933757836917
"M29"	0.619956747416343	-0.613413795037758
"M3"	-1.46200477796802	1.44737069093848
"M30"	-1.30253944981958	1.27252520766083
"M31"	3.1918963447397	-3.15442674688296
"M32"	2.42202471402256	-2.38348274477502
"M33"	2.12983990242575	-2.10369122427613
"M4"	0.369340750758854	-0.372057334116964
"M5"	1.06070598960021	-1.06706431347254
"M6"	-1.68312312856777	1.70882385606476
"M7"	0.794005466183668	-0.79863776841605
"M8"	-1.67892424683616	1.69672697751896
"M9"	-3.40777171207517	3.45358284887934
"Not.Correlated"	-1.61619833836373	1.64867190984704
