"genes"	"modules"
"ADAMTS20"	"M1"
"ADAMTS3"	"M1"
"ADAMTS4"	"M3"
"ADAMTS5"	"M1"
"ADAMTS6"	"M9"
"ADAMTS7"	"M5"
"ADAMTS7P1"	"M7"
"ADAMTS7P3"	"M16"
"ADAMTS7P4"	"M1"
"ADAMTS8"	"M1"
"ADAMTS9"	"M1"
"ADAMTS9-AS1"	"M17"
"ADAMTS9-AS2"	"M1"
"ADAMTSL1"	"M23"
"ADAMTSL2"	"M13"
"ADAMTSL3"	"M3"
"ADAMTSL4"	"M19"
"ADAMTSL4-AS1"	"M23"
"ADAMTSL4-AS2"	"M16"
"ADAMTSL5"	"M2"
"ADAP1"	"M25"
"ADAP2"	"M1"
"ADARB1"	"M2"
"ADARB2"	"M1"
"ADAT2"	"M1"
"ADAT3"	"M5"
"ADCK1"	"M2"
"ADCK2"	"M3"
"ADCK5"	"M5"
"ADCY1"	"M21"
"ADCY10"	"M3"
"ADCY10P1"	"M1"
"ADCY2"	"M1"
"ADCY3"	"M10"
"ADCY4"	"M7"
"ADCY5"	"M1"
"ADCY6"	"M8"
"ADCY7"	"M11"
"ADCY8"	"M1"
"ADCY9"	"M8"
"ADCYAP1"	"M1"
"ADCYAP1R1"	"M3"
"ADD2"	"M11"
"ADD3"	"M1"
"ADD3-AS1"	"M2"
"ADGB"	"M3"
"ADGRA1"	"M25"
"ADGRA1-AS1"	"M13"
"ADGRA2"	"M1"
"ADGRA3"	"M1"
"ADGRB1"	"M1"
"ADGRB2"	"M18"
"ADGRD1"	"M7"
"ADGRD2"	"M8"
"ADGRE1"	"M14"
"ADGRE4P"	"M1"
"ADGRE5"	"M2"
"ADGRF1"	"M3"
"ADGRF2"	"M3"
"ADGRF3"	"M22"
"ADGRF4"	"M1"
"ADGRF5"	"M1"
"ADGRF5P1"	"M3"
"ADGRG1"	"M22"
"ADGRG3"	"M9"
"ADGRG5"	"M1"
"ADGRG6"	"M1"
"ADGRL1"	"M15"
"ADGRL1-AS1"	"M12"
"ADGRL2"	"M1"
"ADGRL3"	"M23"
"ADGRL4"	"M12"
"ADGRV1"	"M1"
"ADH1A"	"M20"
"ADH1B"	"M1"
"ADH4"	"M3"
"ADH5"	"M7"
"ADH5P3"	"M29"
"ADH6"	"M20"
"ADH7"	"M2"
"ADHFE1"	"M3"
"ADIPOQ"	"M24"
"ADIPOQ-AS1"	"M2"
"ADIPOR1"	"M29"
"ADIRF"	"M1"
"ADIRF-AS1"	"M8"
