"genes"	"modules"
"CYB561D1"	"M3"
"CYB561D2"	"M3"
"CYB5A"	"M3"
"CYB5AP2"	"M2"
"CYB5B"	"M2"
"CYB5D2"	"M13"
"CYB5R1"	"M4"
"CYB5R2"	"M1"
"CYB5R3"	"M10"
"CYB5RL"	"M13"
"CYBA"	"M5"
"CYBC1"	"M1"
"CYBRD1"	"M9"
"CYC1"	"M4"
"CYCS"	"M13"
"CYCSP10"	"M3"
"CYCSP34"	"M2"
"CYCSP8"	"M3"
"CYFIP1"	"M6"
"CYGB"	"M1"
"CYHR1"	"M5"
"CYLC2"	"M3"
"CYLD"	"M16"
"CYP11A1"	"M19"
"CYP11B1"	"M1"
"CYP17A1"	"M1"
"CYP19A1"	"M19"
"CYP1A1"	"M1"
"CYP1A2"	"M24"
"CYP1B1"	"M1"
"CYP1B1-AS1"	"M3"
"CYP20A1"	"M3"
"CYP21A1P"	"M2"
"CYP21A2"	"M1"
"CYP24A1"	"M1"
"CYP26A1"	"M1"
"CYP26B1"	"M1"
"CYP26C1"	"M32"
"CYP27A1"	"M20"
"CYP27B1"	"M5"
"CYP27C1"	"M1"
"CYP2B6"	"M24"
"CYP2B7P"	"M4"
"CYP2C18"	"M1"
"CYP2C8"	"M1"
"CYP2C9"	"M3"
"CYP2D6"	"M2"
"CYP2D7"	"M8"
"CYP2D8P"	"M2"
"CYP2E1"	"M25"
"CYP2G1P"	"M4"
"CYP2J2"	"M20"
"CYP2R1"	"M7"
"CYP2S1"	"M1"
"CYP2T1P"	"M1"
"CYP2U1-AS1"	"M4"
"CYP2W1"	"M2"
"CYP39A1"	"M9"
"CYP3A4"	"M20"
"CYP3A43"	"M12"
"CYP3A5"	"M4"
"CYP3A7"	"M20"
"CYP3A7-CYP3A51P"	"M20"
"CYP46A1"	"M4"
"CYP4A11"	"M1"
"CYP4A22"	"M20"
"CYP4A22-AS1"	"M3"
"CYP4A44P"	"M1"
"CYP4B1"	"M2"
"CYP4F11"	"M3"
"CYP4F12"	"M8"
"CYP4F2"	"M2"
"CYP4F24P"	"M9"
"CYP4F26P"	"M1"
"CYP4F3"	"M2"
"CYP4F30P"	"M1"
"CYP4F35P"	"M1"
"CYP4F62P"	"M11"
"CYP4F8"	"M2"
"CYP4V2"	"M1"
"CYP4X1"	"M1"
"CYP4Z1"	"M1"
"CYP4Z2P"	"M1"
"CYP51A1"	"M12"
"CYP51A1P3"	"M8"
"CYP7B1"	"M7"
"CYP8B1"	"M2"
"CYREN"	"M3"
"CYRIA"	"M1"
"CYRIB"	"M17"
"CYS1"	"M3"
"CYSLTR2"	"M2"
"CYSRT1"	"M13"
"CYSTM1"	"M29"
"CYTH1"	"M11"
"CYTH2"	"M6"
"CYTH3"	"M10"
"CYTH4"	"M2"
"CYTIP"	"M1"
"CYTL1"	"M6"
"CYTOR"	"M1"
"CYYR1"	"M9"
"CYYR1-AS1"	"M3"
"D2HGDH"	"M5"
"DAAM1"	"M3"
"DAAM2"	"M1"
"DAAM2-AS1"	"M3"
"DAB1"	"M1"
"DAB1-AS1"	"M3"
"DAB2"	"M3"
"DAB2IP"	"M15"
"DACH1"	"M1"
"DACT1"	"M1"
"DACT2"	"M1"
"DACT3"	"M9"
"DACT3-AS1"	"M7"
"DAD1"	"M4"
"DAG1"	"M10"
"DAGLA"	"M18"
"DALRD3"	"M4"
"DANCR"	"M4"
"DAND5"	"M3"
"DAP"	"M1"
"DAP-DT"	"M3"
"DAPK1-IT1"	"M3"
"DAPK2"	"M1"
"DAPK3"	"M14"
"DAPL1"	"M1"
"DAPP1"	"M5"
"DARS1"	"M2"
"DARS1-AS1"	"M3"
"DAW1"	"M1"
"DAXX"	"M6"
"DAZAP1"	"M1"
"DAZAP2"	"M4"
"DBET"	"M1"
"DBF4"	"M9"
"DBF4B"	"M8"
"DBH"	"M1"
"DBH-AS1"	"M1"
"DBI"	"M2"
"DBIL5P"	"M17"
"DBN1"	"M6"
"DBNDD1"	"M15"
"DBNDD2"	"M3"
"DBNL"	"M14"
"DBP"	"M1"
"DBR1"	"M7"
"DBX2"	"M1"
"DCAF1"	"M11"
"DCAF11"	"M6"
"DCAF13"	"M8"
"DCAF15"	"M3"
"DCAF16"	"M1"
"DCAF4"	"M2"
"DCAF4L1"	"M6"
"DCAKD"	"M10"
"DCBLD1"	"M1"
"DCBLD2"	"M3"
"DCC"	"M21"
"DCDC1"	"M1"
"DCDC2"	"M1"
"DCDC2C"	"M23"
"DCHS1"	"M18"
"DCHS2"	"M1"
"DCK"	"M12"
"DCLK2"	"M1"
"DCLK3"	"M1"
"DCLRE1A"	"M8"
"DCLRE1B"	"M6"
"DCLRE1C"	"M1"
"DCN"	"M26"
"DCP1A"	"M11"
"DCP1B"	"M10"
"DCP2"	"M8"
"DCPS"	"M14"
"DCST1-AS1"	"M1"
"DCST2"	"M1"
"DCT"	"M1"
"DCTN1"	"M22"
"DCTN1-AS1"	"M1"
"DCTN2"	"M6"
"DCTN3"	"M4"
"DCTN6"	"M2"
"DCTN6-DT"	"M2"
"DCTPP1"	"M14"
"DCUN1D1"	"M17"
"DCUN1D5"	"M7"
"DCXR"	"M6"
"DCXR-DT"	"M3"
"DDA1"	"M6"
"DDAH1"	"M1"
"DDAH2"	"M4"
"DDB2"	"M1"
"DDC"	"M1"
"DDIAS"	"M1"
"DDIT3"	"M3"
"DDIT4"	"M3"
"DDIT4L"	"M1"
"DDN"	"M1"
"DDO"	"M1"
"DDOST"	"M3"
"DDR1"	"M5"
"DDR2"	"M9"
"DDRGK1"	"M6"
"DDT"	"M3"
"DDTL"	"M1"
"DDX10"	"M2"
"DDX10P1"	"M10"
"DDX11"	"M17"
"DDX11-AS1"	"M7"
"DDX11L1"	"M1"
"DDX11L10"	"M2"
"DDX11L2"	"M1"
"DDX12P"	"M23"
"DDX19A-DT"	"M2"
"DDX19B"	"M6"
"DDX21"	"M8"
"DDX23"	"M6"
"DDX24"	"M17"
"DDX27"	"M6"
"DDX28"	"M4"
"DDX39A"	"M5"
"DDX39B"	"M1"
"DDX39B-AS1"	"M4"
"DDX3ILA1"	"M2"
"DDX4"	"M6"
"DDX41"	"M6"
"DDX43"	"M1"
"DDX47"	"M7"
"DDX49"	"M14"
"DDX5"	"M2"
"DDX50"	"M8"
"DDX50P1"	"M14"
"DDX50P2"	"M1"
"DDX52"	"M2"
"DDX54"	"M6"
"DDX55P1"	"M1"
"DDX56"	"M14"
"DDX58"	"M1"
"DDX59"	"M13"
"DDX59-AS1"	"M1"
"DDX6"	"M2"
"DDX60"	"M9"
"DDX60L"	"M4"
"DEAF1"	"M13"
"DECR2"	"M3"
"DEDD"	"M6"
"DEDD2"	"M14"
"DEF6"	"M1"
"DEF8"	"M5"
"DEFB131E"	"M1"
"DEFB134"	"M1"
"DEGS1"	"M16"
"DEGS2"	"M3"
"DEK"	"M2"
"DELEC1"	"M3"
"DENND11"	"M9"
"DENND1A"	"M10"
"DENND1B"	"M12"
"DENND1C"	"M1"
"DENND2A"	"M7"
"DENND2B"	"M8"
"DENND2D"	"M26"
"DENND3"	"M12"
"DENND4A"	"M11"
"DENND4B"	"M8"
"DENND4C"	"M1"
"DENND6A-DT"	"M24"
"DENND6B"	"M5"
"DEPDC1"	"M9"
"DEPDC1-AS1"	"M14"
"DEPDC1B"	"M9"
"DEPDC1P1"	"M4"
"DEPDC1P2"	"M3"
"DEPDC4"	"M1"
"DEPDC5"	"M11"
"DEPDC7"	"M9"
"DEPP1"	"M3"
"DEPTOR"	"M1"
"DERA"	"M9"
"DERL1"	"M7"
"DERL3"	"M1"
"DES"	"M19"
"DESI1"	"M22"
"DESI2"	"M7"
"DET1"	"M3"
"DEUP1"	"M1"
"DEXI"	"M11"
"DGAT1"	"M14"
"DGAT2"	"M1"
"DGCR2"	"M14"
"DGCR5"	"M3"
"DGCR6"	"M2"
"DGCR6L"	"M14"
"DGCR8"	"M5"
"DGKA"	"M3"
"DGKB"	"M1"
"DGKE"	"M23"
"DGKG"	"M1"
"DGKH"	"M32"
"DGKQ"	"M5"
"DGKZ"	"M15"
"DGUOK"	"M4"
"DHCR24"	"M5"
"DHCR7"	"M6"
"DHDDS-AS1"	"M11"
"DHDH"	"M1"
"DHFR"	"M9"
"DHFR2"	"M1"
"DHFRP1"	"M3"
"DHH"	"M2"
"DHODH"	"M1"
"DHPS"	"M14"
"DHRS1"	"M5"
"DHRS11"	"M8"
"DHRS13"	"M13"
"DHRS3"	"M26"
"DHRS4"	"M1"
"DHRS4-AS1"	"M1"
"DHRS4L2"	"M1"
"DHRS7"	"M3"
"DHRS7B"	"M13"
"DHRS9"	"M7"
"DHTKD1"	"M11"
"DHX15"	"M8"
"DHX16"	"M6"
"DHX32"	"M16"
"DHX34"	"M18"
"DHX36"	"M10"
"DHX37"	"M5"
"DHX38"	"M6"
"DHX40"	"M7"
"DHX40P1"	"M6"
"DHX58"	"M1"
"DHX8"	"M1"
"DHX9"	"M7"
"DIABLO"	"M6"
"DIAPH3"	"M9"
"DIDO1"	"M6"
"DIMT1"	"M1"
"DIO2"	"M1"
"DIO2-AS1"	"M6"
"DIO3"	"M1"
"DIO3OS"	"M1"
"DIP2A-IT1"	"M3"
"DIP2C-AS1"	"M15"
"DIPK1A"	"M23"
"DIPK1B"	"M14"
"DIPK1C"	"M13"
"DIPK2A"	"M1"
"DIRAS1"	"M5"
"DIRAS2"	"M1"
"DIRAS3"	"M1"
"DIRC3"	"M1"
"DIRC3-AS1"	"M1"
"DIS3"	"M2"
"DIS3L"	"M1"
"DIS3L-AS1"	"M7"
"DISC1"	"M1"
"DISC1-IT1"	"M3"
"DISC1FP1"	"M1"
"DISP2"	"M15"
"DISP3"	"M1"
"DIXDC1"	"M11"
"DKK1"	"M26"
"DKK2"	"M1"
"DKK3"	"M15"
"DKKL1"	"M1"
"DLC1"	"M3"
"DLEC1"	"M1"
"DLEU1"	"M5"
"DLEU2"	"M9"
"DLEU2L"	"M1"
"DLEU7"	"M7"
"DLG1"	"M13"
"DLG2"	"M21"
"DLG4"	"M6"
"DLG5"	"M18"
"DLG5-AS1"	"M1"
"DLGAP1"	"M11"
"DLGAP1-AS1"	"M9"
"DLGAP1-AS3"	"M4"
"DLGAP1-AS5"	"M2"
"DLGAP2"	"M9"
"DLGAP3"	"M1"
"DLGAP4"	"M10"
"DLGAP4-AS1"	"M2"
"DLGAP5"	"M9"
"DLK1"	"M19"
"DLK2"	"M14"
"DLL1"	"M23"
"DLL3"	"M3"
"DLL4"	"M5"
"DLX1"	"M1"
"DLX2"	"M1"
"DLX3"	"M19"
"DLX5"	"M1"
"DLX6"	"M1"
"DLX6-AS1"	"M1"
"DM1-AS"	"M2"
"DMAC1"	"M12"
"DMAC2"	"M6"
"DMAC2L"	"M7"
"DMAP1"	"M6"
"DMBT1L1"	"M2"
"DMBX1"	"M1"
"DMC1"	"M9"
"DMGDH"	"M11"
"DMKN"	"M1"
"DMP1"	"M2"
"DMPK"	"M7"
"DMRT1"	"M29"
"DMRT3"	"M9"
"DMRTA1"	"M9"
"DMRTA2"	"M1"
"DMTF1"	"M13"
"DMTN"	"M22"
"DMXL2"	"M18"
"DNA2"	"M7"
"DNAAF1"	"M33"
"DNAAF2"	"M7"
"DNAAF3"	"M33"
"DNAAF4"	"M23"
"DNAAF4-CCPG1"	"M22"
"DNAAF5"	"M12"
"DNAH1"	"M7"
"DNAH10"	"M21"
"DNAH10OS"	"M10"
"DNAH11"	"M1"
"DNAH12"	"M1"
"DNAH14"	"M1"
"DNAH17"	"M2"
"DNAH17-AS1"	"M24"
"DNAH2"	"M8"
"DNAH3"	"M1"
"DNAH5"	"M2"
"DNAH6"	"M1"
"DNAH7"	"M1"
"DNAH8"	"M1"
"DNAH9"	"M33"
"DNAI1"	"M7"
"DNAI2"	"M1"
"DNAI3"	"M33"
"DNAI4"	"M1"
"DNAJA1"	"M12"
"DNAJA2"	"M12"
"DNAJA2-DT"	"M1"
"DNAJA4"	"M1"
"DNAJB1"	"M4"
"DNAJB11"	"M2"
"DNAJB13"	"M1"
"DNAJB14"	"M12"
"DNAJB2"	"M29"
"DNAJB5"	"M6"
"DNAJB5-DT"	"M1"
"DNAJB6"	"M2"
"DNAJB6P7"	"M29"
"DNAJB6P8"	"M15"
"DNAJB7"	"M4"
"DNAJB9"	"M12"
"DNAJC1"	"M9"
"DNAJC10"	"M12"
"DNAJC11"	"M10"
"DNAJC12"	"M1"
"DNAJC14"	"M6"
"DNAJC15"	"M2"
"DNAJC17"	"M6"
"DNAJC19"	"M12"
"DNAJC19P5"	"M1"
"DNAJC2"	"M2"
"DNAJC21"	"M2"
"DNAJC22"	"M8"
"DNAJC25-GNG10"	"M17"
"DNAJC27-AS1"	"M2"
"DNAJC28"	"M17"
"DNAJC3"	"M12"
"DNAJC3-DT"	"M16"
"DNAJC4"	"M10"
"DNAJC5"	"M13"
"DNAJC5B"	"M19"
"DNAJC5G"	"M1"
"DNAJC6"	"M23"
"DNAJC8"	"M2"
"DNAJC9-AS1"	"M3"
"DNAL4"	"M4"
"DNALI1"	"M7"
"DNASE1"	"M11"
"DNASE1L2"	"M5"
"DNASE1L3"	"M20"
"DNASE2"	"M3"
"DND1"	"M5"
"DND1P1"	"M2"
"DNER"	"M13"
"DNLZ"	"M13"
"DNM1"	"M8"
"DNM1P35"	"M7"
"DNM1P41"	"M10"
"DNM1P46"	"M8"
"DNM1P47"	"M1"
"DNM1P51"	"M5"
"DNM3"	"M21"
"DNM3-IT1"	"M29"
"DNM3OS"	"M19"
"DNMBP"	"M2"
"DNMBP-AS1"	"M24"
"DNMT1"	"M10"
"DNMT3A"	"M13"
"DNMT3B"	"M1"
"DNPEP"	"M3"
"DNPH1"	"M4"
"DNTTIP1"	"M6"
"DNTTIP2"	"M2"
"DOC2A"	"M1"
"DOC2B"	"M25"
"DOCK1"	"M9"
"DOCK10"	"M1"
"DOCK11P1"	"M1"
"DOCK2"	"M30"
"DOCK4"	"M1"
"DOCK5"	"M14"
"DOCK6"	"M2"
"DOCK7"	"M8"
"DOCK8"	"M19"
"DOCK8-AS1"	"M6"
"DOCK9"	"M21"
"DOCK9-DT"	"M1"
"DOHH"	"M5"
"DOK1"	"M14"
"DOK2"	"M26"
"DOK3"	"M12"
"DOK4"	"M5"
"DOK5"	"M8"
"DOK6"	"M1"
"DOK7"	"M1"
"DOLK"	"M14"
"DOLPP1"	"M4"
"DOP1A"	"M10"
"DOP1B"	"M1"
"DOT1L"	"M18"
"DPCD"	"M13"
"DPEP1"	"M14"
"DPEP2"	"M11"
"DPF1"	"M22"
"DPF2"	"M10"
"DPF3"	"M1"
"DPH1"	"M6"
"DPH2"	"M5"
"DPH3"	"M16"
"DPH5"	"M8"
"DPH6"	"M18"
"DPH6-DT"	"M1"
"DPH7"	"M2"
"DPM1"	"M8"
"DPM2"	"M14"
"DPM3"	"M14"
"DPP10"	"M1"
"DPP10-AS1"	"M1"
"DPP3"	"M5"
"DPP4"	"M1"
"DPP6"	"M25"
"DPP7"	"M1"
"DPP9"	"M18"
"DPPA4"	"M2"
"DPRXP2"	"M1"
"DPRXP3"	"M3"
"DPRXP4"	"M3"
"DPT"	"M19"
"DPY19L1"	"M1"
"DPY19L1P1"	"M10"
"DPY19L1P2"	"M2"
"DPY19L2"	"M13"
"DPY19L2P1"	"M3"
"DPY19L2P3"	"M7"
"DPY19L2P4"	"M1"
"DPY19L3"	"M25"
"DPY19L4"	"M7"
"DPY30"	"M12"
"DPYD"	"M21"
"DPYD-AS1"	"M1"
"DPYD-IT1"	"M3"
"DPYS"	"M20"
"DPYSL2"	"M1"
"DPYSL3"	"M14"
"DPYSL4"	"M5"
"DPYSL5"	"M13"
"DQX1"	"M7"
"DRAIC"	"M26"
"DRAM1"	"M6"
"DRAM2"	"M8"
"DRAP1"	"M14"
"DRAXIN"	"M1"
"DRC1"	"M33"
"DRC3"	"M2"
"DRC7"	"M1"
"DRD1"	"M1"
"DRD2"	"M1"
"DRD3"	"M1"
"DRD4"	"M2"
"DRD5"	"M1"
"DRD5P2"	"M1"
"DRG1"	"M4"
"DRG2"	"M5"
"DRGX"	"M31"
"DRICH1"	"M1"
"DROSHA"	"M3"
"DSC2"	"M1"
"DSC3"	"M19"
"DSCAM"	"M10"
"DSCAM-AS1"	"M4"
"DSCAM-IT1"	"M6"
"DSCAML1"	"M1"
"DSCC1"	"M1"
"DSCR8"	"M2"
"DSCR9"	"M1"
"DSE"	"M3"
"DSEL"	"M8"
"DSEL-AS1"	"M2"
"DSG2"	"M9"
"DSG3"	"M1"
"DSN1"	"M9"
"DSP"	"M19"
"DSPP"	"M3"
"DSTN"	"M16"
"DSTNP2"	"M12"
"DTD1"	"M12"
"DTD2"	"M7"
"DTHD1"	"M1"
"DTL"	"M9"
"DTNA"	"M1"
"DTNBP1"	"M1"
"DTWD2"	"M1"
"DTX1"	"M10"
"DTX2"	"M12"
"DTX2P1"	"M10"
"DTX2P1-UPK3BP1-PMS2P11"	"M18"
"DTX3"	"M14"
"DTX3L"	"M9"
"DTX4"	"M22"
"DTYMK"	"M9"
"DUBR"	"M3"
"DUOX1"	"M17"
"DUOX2"	"M2"
"DUOXA1"	"M8"
"DUS1L"	"M14"
"DUS3L"	"M6"
"DUSP1"	"M1"
"DUSP10"	"M9"
"DUSP12"	"M7"
"DUSP14"	"M1"
"DUSP15"	"M1"
"DUSP16"	"M9"
"DUSP18"	"M22"
"DUSP19"	"M12"
"DUSP2"	"M13"
"DUSP23"	"M15"
"DUSP26"	"M13"
"DUSP28"	"M7"
"DUSP4"	"M1"
"DUSP5"	"M4"
"DUSP5P1"	"M1"
"DUSP6"	"M22"
"DUSP7"	"M15"
"DUSP8"	"M22"
"DUSP8P5"	"M10"
"DUT"	"M7"
"DUTP3"	"M1"
"DUTP6"	"M1"
"DUX4"	"M6"
"DUXA"	"M6"
"DUXAP1"	"M1"
"DUXAP8"	"M1"
"DUXAP9"	"M1"
"DVL1"	"M5"
"DVL2"	"M5"
"DVL3"	"M10"
"DXO"	"M6"
"DYDC1"	"M1"
"DYDC2"	"M1"
"DYNAP"	"M3"
"DYNC1I1"	"M1"
"DYNC1I2"	"M8"
"DYNC1LI1"	"M7"
"DYNC2H1"	"M18"
"DYNC2I1"	"M3"
"DYNC2I2"	"M5"
"DYNC2LI1"	"M18"
"DYNLL1"	"M4"
"DYNLL2"	"M11"
"DYNLRB1"	"M6"
"DYNLRB2"	"M1"
"DYNLT1"	"M4"
"DYNLT2"	"M8"
"DYNLT2B"	"M10"
"DYNLT5"	"M33"
"DYRK1B"	"M18"
"DYRK2"	"M8"
"DYRK3"	"M1"
"DYRK4"	"M22"
"DYSF"	"M1"
"DZIP1"	"M4"
"DZIP1L"	"M1"
"DZIP3"	"M16"
"E2F1"	"M9"
"E2F2"	"M9"
"E2F3"	"M9"
"E2F3-IT1"	"M1"
"E2F3P2"	"M1"
"E2F4"	"M14"
"E2F5"	"M7"
"E2F6"	"M7"
"E2F7"	"M9"
"E2F8"	"M9"
"E4F1"	"M5"
"EAF1-AS1"	"M3"
"EAF2"	"M2"
"EAPP"	"M8"
"EARS2"	"M3"
"EBAG9"	"M2"
"EBAG9P1"	"M3"
"EBF1"	"M1"
"EBF2"	"M1"
"EBF3"	"M1"
"EBF4"	"M5"
"EBI3"	"M19"
"EBNA1BP2"	"M2"
"EBPL"	"M3"
"ECE1"	"M7"
"ECE1-AS1"	"M2"
"ECE2"	"M1"
"ECEL1"	"M1"
"ECEL1P2"	"M2"
"ECH1"	"M6"
"ECHDC1"	"M7"
"ECHDC2"	"M2"
"ECHDC3"	"M1"
"ECHS1"	"M3"
"ECI1"	"M3"
"ECI2"	"M6"
"ECI2-DT"	"M1"
"ECM1"	"M7"
"ECM2"	"M20"
"ECPAS"	"M17"
"ECRG4"	"M4"
"ECSCR"	"M29"
"ECSIT"	"M5"
"ECT2"	"M9"
"ECT2L"	"M1"
"EDARADD"	"M23"
"EDC4"	"M6"
"EDEM1"	"M22"
"EDEM2"	"M3"
"EDF1"	"M14"
"EDIL3"	"M1"
"EDIL3-DT"	"M1"
"EDN1"	"M1"
"EDN3"	"M1"
"EDNRA"	"M1"
"EDNRB"	"M1"
"EDRF1-DT"	"M1"
"EEA1"	"M3"
"EED"	"M7"
"EEF1A1"	"M7"
"EEF1A1P11"	"M1"
"EEF1A1P12"	"M1"
"EEF1A1P13"	"M3"
"EEF1A1P19"	"M9"
"EEF1A1P3"	"M17"
"EEF1A1P5"	"M4"
"EEF1A1P6"	"M7"
"EEF1A1P9"	"M1"
"EEF1A2"	"M15"
"EEF1AKMT2"	"M10"
"EEF1AKMT3"	"M3"
"EEF1AKNMT"	"M1"
"EEF1B2"	"M8"
"EEF1D"	"M1"
"EEF1DP2"	"M2"
"EEF1DP3"	"M4"
"EEF1DP4"	"M1"
"EEF1DP7"	"M1"
"EEF1E1"	"M1"
"EEF1G"	"M4"
"EEF1GP1"	"M1"
"EEF1GP7"	"M1"
"EEF2"	"M6"
"EEF2K"	"M1"
"EEF2KMT"	"M5"
"EEFSEC"	"M18"
"EEPD1"	"M2"
"EFCAB1"	"M1"
"EFCAB10"	"M1"
"EFCAB11"	"M1"
"EFCAB12"	"M1"
"EFCAB13"	"M1"
"EFCAB14"	"M2"
"EFCAB2"	"M3"
"EFCAB5"	"M13"
"EFCAB6"	"M9"
"EFCAB6-AS1"	"M1"
"EFCAB6-DT"	"M2"
"EFCAB7"	"M8"
"EFCAB8"	"M2"
"EFCC1"	"M1"
"EFEMP1"	"M19"
"EFEMP2"	"M1"
"EFHB"	"M3"
"EFHC1"	"M6"
"EFHD1"	"M26"
"EFHD2"	"M1"
"EFL1"	"M1"
"EFL1P1"	"M21"
"EFNA1"	"M9"
"EFNA2"	"M18"
"EFNA3"	"M14"
"EFNA4"	"M9"
"EFNA5"	"M1"
"EFNB2"	"M1"
"EFNB3"	"M1"
"EFS"	"M9"
"EGF"	"M2"
"EGFEM1P"	"M2"
"EGFL7"	"M5"
"EGFL8"	"M10"
"EGFLAM"	"M1"
"EGFR"	"M1"
"EGFR-AS1"	"M14"
"EGLN1"	"M12"
"EGLN2"	"M5"
"EGLN3"	"M1"
"EGR1"	"M1"
"EGR2"	"M25"
"EGR3"	"M3"
"EHBP1L1"	"M10"
"EHD1"	"M14"
"EHD2"	"M2"
"EHD3"	"M25"
"EHD4"	"M1"
"EHD4-AS1"	"M24"
"EHF"	"M26"
"EHHADH"	"M1"
"EHMT1"	"M18"
"EHMT2"	"M6"
"EID1"	"M12"
"EID2"	"M16"
"EID2B"	"M16"
"EIF1"	"M1"
"EIF1B"	"M7"
"EIF1B-AS1"	"M6"
"EIF2A"	"M8"
"EIF2AK2"	"M3"
"EIF2AK3"	"M2"
"EIF2AK3-DT"	"M3"
"EIF2B1"	"M2"
"EIF2B2"	"M6"
"EIF2B5"	"M2"
"EIF2S1"	"M8"
"EIF2S2P1"	"M24"
"EIF3A"	"M2"
"EIF3C"	"M6"
"EIF3CL"	"M13"
"EIF3D"	"M1"
"EIF3E"	"M8"
"EIF3EP1"	"M7"
"EIF3EP2"	"M24"
"EIF3F"	"M4"
"EIF3FP3"	"M4"
"EIF3G"	"M6"
"EIF3H"	"M1"
"EIF3I"	"M14"
"EIF3J"	"M2"
"EIF3J-DT"	"M2"
"EIF3K"	"M14"
"EIF3KP1"	"M1"
"EIF3L"	"M4"
"EIF3M"	"M8"
"EIF4A1"	"M4"
"EIF4A2"	"M4"
"EIF4A2P1"	"M21"
"EIF4A2P2"	"M14"
"EIF4A3"	"M3"
"EIF4B"	"M8"
"EIF4BP6"	"M1"
"EIF4E1B"	"M1"
"EIF4E2"	"M2"
"EIF4E3"	"M2"
"EIF4EBP1"	"M1"
"EIF4EBP2"	"M1"
"EIF4EBP3"	"M3"
"EIF4ENIF1"	"M10"
"EIF4EP2"	"M3"
"EIF4G1"	"M10"
"EIF4G2"	"M17"
"EIF4H"	"M4"
"EIF4HP2"	"M7"
"EIF5"	"M6"
"EIF5A"	"M4"
"EIF5A2"	"M8"
"EIF5A2P1"	"M4"
"EIF5AL1"	"M1"
"EIF5AP3"	"M12"
"EIF5B"	"M10"
"EIF6"	"M4"
"EIPR1-IT1"	"M8"
"ELAPOR1"	"M1"
"ELAPOR2"	"M1"
"ELAVL2"	"M1"
"ELAVL3"	"M10"
"ELAVL4"	"M1"
"ELF1"	"M26"
"ELF2"	"M1"
"ELF3"	"M6"
"ELF5"	"M19"
"ELFN1"	"M25"
"ELFN2"	"M5"
"ELK3"	"M1"
"ELK4"	"M11"
"ELL"	"M18"
"ELL2"	"M1"
"ELL2P1"	"M11"
"ELL3"	"M2"
"ELMO1"	"M21"
"ELMO3"	"M5"
"ELMOD1"	"M21"
"ELMOD2"	"M12"
"ELN"	"M8"
"ELOA"	"M6"
"ELOB"	"M3"
"ELOC"	"M7"
"ELOCP19"	"M22"
"ELOCP33"	"M1"
"ELOF1"	"M14"
"ELOVL1"	"M15"
"ELOVL2"	"M21"
"ELOVL2-AS1"	"M3"
"ELOVL3"	"M1"
"ELOVL4"	"M16"
"ELOVL7"	"M1"
"ELP2"	"M25"
"ELP4"	"M7"
"ELP5"	"M14"
"EMB"	"M1"
"EMBP1"	"M1"
"EMC1-AS1"	"M10"
"EMC10"	"M4"
"EMC2"	"M2"
"EMC3-AS1"	"M1"
"EMC4"	"M8"
"EMC6"	"M1"
"EMC7"	"M17"
"EMC8"	"M3"
"EMC9"	"M5"
"EMCN"	"M3"
"EME1"	"M9"
"EME2"	"M5"
"EMG1"	"M4"
"EMID1"	"M1"
"EMILIN1"	"M26"
"EMILIN2"	"M26"
"EMILIN3"	"M9"
"EML1"	"M1"
"EML2"	"M1"
"EML3"	"M23"
"EML4-AS1"	"M1"
"EML5"	"M1"
"EML6"	"M2"
"EMP1"	"M1"
"EMP3"	"M3"
"EMSY"	"M11"
"EMX1"	"M1"
"EMX2"	"M11"
"EMX2OS"	"M1"
"EN1"	"M1"
"EN2"	"M1"
"ENAH"	"M2"
"ENAM"	"M2"
"ENC1"	"M1"
"ENDOD1"	"M1"
"ENDOG"	"M4"
"ENDOU"	"M19"
"ENG"	"M19"
"ENGASE"	"M2"
"ENHO"	"M3"
"ENKD1"	"M3"
"ENKUR"	"M17"
"ENO1"	"M3"
"ENO1P2"	"M16"
"ENO1P3"	"M8"
"ENO1P4"	"M8"
"ENO2"	"M13"
"ENO3"	"M2"
"ENO4"	"M1"
"ENOPH1"	"M12"
"ENOSF1"	"M21"
"ENOX1"	"M1"
"ENOX1-AS1"	"M6"
"ENPEP"	"M19"
"ENPP1"	"M19"
"ENPP2"	"M1"
"ENPP3"	"M1"
"ENPP4"	"M16"
"ENPP5"	"M32"
"ENPP6"	"M1"
"ENPP7P1"	"M1"
"ENPP7P11"	"M1"
"ENPP7P2"	"M1"
"ENPP7P4"	"M1"
"ENPP7P5"	"M1"
"ENPP7P8"	"M8"
"ENTPD1"	"M3"
"ENTPD2"	"M1"
"ENTPD3"	"M1"
"ENTPD7"	"M1"
"ENY2"	"M7"
"EOGT"	"M1"
"EOMES"	"M1"
"EP300"	"M10"
"EP400"	"M7"
"EP400P1"	"M8"
"EPAS1"	"M19"
"EPB41"	"M3"
"EPB41L1"	"M25"
"EPB41L2"	"M4"
"EPB41L3"	"M11"
"EPB41L4A"	"M1"
"EPB41L4A-AS1"	"M7"
"EPB41L4A-DT"	"M1"
"EPB41L4B"	"M1"
"EPB42"	"M6"
"EPC1"	"M11"
"EPC2"	"M2"
"EPCAM"	"M1"
"EPCAM-DT"	"M1"
"EPDR1"	"M1"
"EPGN"	"M1"
"EPHA1"	"M1"
"EPHA1-AS1"	"M6"
"EPHA10"	"M1"
"EPHA2"	"M9"
"EPHA3"	"M1"
"EPHA4"	"M1"
